NuSTAR OBSID, Gal. Lon. [deg], Gal. Lat [deg], Avg. Exposure [s], Target
60160414002,237.74,57.55,38390.5,2MASXJ10523297p1036205
60160443002,139.21,55.57,23245.2,SBS1136p594
60160450002,126.61,36.98,21688.6,UGC06728
60160465002,279.50,56.88,20137.4,Mrk1310
60160472002,138.02,63.08,18149.3,NGC4102
60160490002,125.49,41.68,19753.4,Mrk205
60160498002,299.48,14.77,18376.7,2MASXJ12313717m4758019
60160536002,325.46,70.56,20547.4,NGC5100NED02
60160541002,321.29,56.25,21080.0,PKS1329m049
60160556002,117.64,43.23,17682.4,2MASSiJ1346085p732053
60160560002,334.65,61.33,17912.0,UM614
60160571002,318.19,18.00,21677.6,2MASXJ14104482m4228325
60160583002,19.75,66.84,23580.3,Mrk813
60160590002,100.31,53.51,20457.0,Mrk817
60160603002,109.98,42.12,23230.8,3C309d1
60160607002,359.06,47.14,21427.6,Mrk1393
60160627002,311.15,-19.49,16229.2,PKS1549m79
60160638002,348.79,13.32,20232.7,PKS1622m29
60160639002,118.80,29.77,26801.0,VIIZw653
60160640002,79.76,42.91,23410.0,Mrk1498
60160662002,75.46,34.93,22011.0,ARP102B
60160672002,42.55,23.31,19149.1,4Cp18d51
60160674002,53.84,26.21,19547.3,1RXSJ174538d1p290823
60160683002,94.02,27.43,21881.3,H1821p643
60160686002,46.95,14.29,22492.9,2MASXJ18241083p1846088
60160706002,347.16,-23.86,24081.6,ESO231mG026
60160707002,8.14,-18.77,21227.9,PKS1916m300
60160712002,105.61,23.52,31489.8,4Cp73d18
60160716002,346.94,-27.93,21453.6,2MASXJ19380437m5109497
60160729002,27.08,-24.59,20142.1,PKS2008m159
60160740002,64.36,-10.79,21244.6,4Cp21d55
60160767002,66.84,-30.95,19883.7,RXJ2145d5p1102
60160774002,69.43,-34.02,20617.5,Mrk520
60160788002,61.90,-46.71,19561.8,3C445
60160800002,348.45,-58.45,22969.9,2MASXJ22422135m4539093
60160814002,325.82,-52.72,19094.4,2MASXJ23013626m5913210
60160826002,355.37,-68.77,21604.7,LCRSB232242d2m384320
60160840002,12.96,-78.05,21416.5,H2356m309
60161065002,283.24,-69.62,22831.5,2MASXJ01302127m4601448
60161074002,140.26,-39.14,18311.0,2MASXJ01485967p2145343
60161089002,136.86,-15.95,20216.3,MCGp07m05m016
60161101002,147.73,-33.33,21145.1,2MASXJ02223523p2508143
60161138002,145.86,-12.82,19231.4,2MASXJ02593756p4417180
60161224002,145.09,15.73,28730.4,CGCG307m007
60161299002,267.22,-15.21,26545.9,2MASXJ07410919m5447461
60161426002,128.17,36.42,20745.7,MCGp13m08m056
60161497002,128.10,58.98,19858.5,NGC4500
60161526002,306.14,22.35,21839.1,ESO323mG081
60161542002,305.18,-15.18,19919.1,ESO021mG004
60161610002,349.61,39.02,20219.3,2MASXJ15120505m1046356
60161666002,37.66,24.25,22737.3,2MASXJ17311341p1442561
60161687002,102.79,27.69,31948.9,VIIZw800
60201003002,348.14,-65.71,47785.5,NGC_7582
60201017002,190.20,48.88,35965.9,IC_2497
60201019002,245.97,76.71,40089.3,IRAS12018p1941
60201022002,227.87,-30.27,147750.9,IRASF_05189m2524
60201023002,86.90,49.41,58342.6,PG_1535p547
60201024002,237.62,-53.99,25463.9,NGC_1386
60201030002,143.47,38.45,43878.5,SWIFT_J0926d1p6931
